date,query,position,results_seen
2026-08-17,stussy chapel hill,NF,7
2026-08-17,stussy chapel hill chapter,NF,10
2026-08-17,stussy chapel hill store,NF,7
2026-08-18,stussy chapel hill,NF,8
2026-08-18,stussy chapel hill chapter,NF,10
2026-08-18,stussy chapel hill store,NF,7
2026-08-19,stussy chapel hill,NF,6
2026-08-19,stussy chapel hill chapter,NF,10
2026-08-19,stussy chapel hill store,NF,7
2026-08-20,stussy chapel hill,NF,6
2026-08-20,stussy chapel hill chapter,NF,10
2026-08-20,stussy chapel hill store,NF,7
2026-08-21,stussy chapel hill,NF,7
2026-08-21,stussy chapel hill chapter,NF,10
2026-08-21,stussy chapel hill store,NF,7
2026-08-22,stussy chapel hill,NF,7
2026-08-22,stussy chapel hill chapter,NF,10
2026-08-22,stussy chapel hill store,NF,7
2026-08-23,stussy chapel hill,NF,8
2026-08-23,stussy chapel hill chapter,NF,10
2026-08-23,stussy chapel hill store,NF,7
2026-08-24,stussy chapel hill,NF,7
2026-08-24,stussy chapel hill chapter,NF,10
2026-08-24,stussy chapel hill store,NF,7
2026-08-25,stussy chapel hill,NF,6
2026-08-25,stussy chapel hill chapter,NF,10
2026-08-25,stussy chapel hill store,NF,7
2026-08-26,stussy chapel hill,NF,6
2026-08-26,stussy chapel hill chapter,NF,10
2026-08-26,stussy chapel hill store,NF,7
2026-08-27,stussy chapel hill,NF,6
2026-08-27,stussy chapel hill chapter,NF,10
2026-08-27,stussy chapel hill store,NF,7
2026-08-28,stussy chapel hill,NF,7
2026-08-28,stussy chapel hill chapter,NF,10
2026-08-28,stussy chapel hill store,NF,7
2026-08-29,stussy chapel hill,NF,6
2026-08-29,stussy chapel hill chapter,NF,10
2026-08-29,stussy chapel hill store,NF,7
2026-08-30,stussy chapel hill,NF,7
2026-08-30,stussy chapel hill chapter,NF,10
2026-08-30,stussy chapel hill store,NF,7
2026-08-31,stussy chapel hill,NF,6
2026-08-31,stussy chapel hill chapter,NF,10
2026-08-31,stussy chapel hill store,NF,7
2026-09-01,stussy chapel hill,NF,6
2026-09-01,stussy chapel hill chapter,NF,10
2026-09-01,stussy chapel hill store,NF,7
2026-09-02,stussy chapel hill,NF,6
2026-09-02,stussy chapel hill chapter,NF,10
2026-09-02,stussy chapel hill store,NF,7
2026-09-03,stussy chapel hill,NF,7
2026-09-03,stussy chapel hill chapter,NF,10
2026-09-03,stussy chapel hill store,NF,7
2026-09-04,stussy chapel hill,NF,7
2026-09-04,stussy chapel hill chapter,NF,10
2026-09-04,stussy chapel hill store,NF,8
2026-09-05,stussy chapel hill,NF,7
2026-09-05,stussy chapel hill chapter,NF,10
2026-09-05,stussy chapel hill store,NF,8
2026-09-06,stussy chapel hill,NF,8
2026-09-06,stussy chapel hill chapter,NF,10
2026-09-06,stussy chapel hill store,NF,8
2026-09-07,stussy chapel hill,NF,8
2026-09-07,stussy chapel hill chapter,NF,10
2026-09-07,stussy chapel hill store,NF,8
